,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
488,35,male,single,1,rent,2,unskilled - resident,1 year,4 years,0,Medium,0,0,10,new vehicle,1418000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
489,26,male,single,1,rent,3,skilled employee / official,1 year,4 years,1,Low,0,0,6,new vehicle,3518000,2,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,Low Risk
490,26,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,12,electronic equipment,1934000,2,car or other,0,0,2,critical/pending loans at other banks,Low Risk
491,42,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,2 lac,27,business,8318000,2,car or other,0,0,2,no loans taken/all loans paid back duly,High Risk
492,27,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,1,Medium,0,0,6,electronic equipment,1237000,1,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
493,38,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,6,electronic equipment,368000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
494,39,male,single,2,rent,2,unskilled - resident,1 year,4 years,0,Low,0,0,12,new vehicle,2122000,3,real estate,0,0,2,critical/pending loans at other banks,Low Risk
495,20,male,married/widowed,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,24,FF&E,2996000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
496,29,male,single,1,rent,1,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Medium,0,2 lac,36,FF&E,9034000,4,car or other,1,0,1,existing loans paid back duly till now,High Risk
497,40,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,24,FF&E,1585000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
498,32,male,married/widowed,1,own,2,unskilled - resident,7 years,4 years,1,Low,0,2 lac,18,electronic equipment,1301000,4,real estate,0,1,1,existing loans paid back duly till now,Low Risk
499,28,male,divorced/separated,2,own,4,skilled employee / official,7 years,4 years,1,Medium,2 lac,0,6,new vehicle,1323000,2,car or other,0,0,2,critical/pending loans at other banks,Low Risk
500,27,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,24,new vehicle,3123000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
501,42,male,single,2,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,36,used vehicle,5493000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
502,49,male,divorced/separated,1,own,4,skilled employee / official,7 years,4 years,1,Medium,2 lac,0,9,electronic equipment,1126000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
503,38,male,single,2,own,4,skilled employee / official,0 year,1 year,1,Medium,0,2 lac,24,electronic equipment,1216000,4,car or other,0,0,2,critical/pending loans at other banks,High Risk
504,24,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,24,new vehicle,1207000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
505,27,male,single,1,own,4,unskilled - resident,1 year,4 years,1,Low,0,0,10,new vehicle,1309000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,High Risk
506,36,male,single,1,own,2,skilled employee / official,1 year,4 years,1,High,2 lac,0,15,used vehicle,2360000,2,car or other,0,0,1,critical/pending loans at other banks,Low Risk
507,34,male,single,2,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Medium,0,2 lac,15,new vehicle,6850000,1,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,High Risk
508,28,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,24,electronic equipment,1413000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
509,45,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Medium,0,0,39,used vehicle,8588000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
510,26,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,12,new vehicle,759000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
511,32,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,36,used vehicle,4686000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
512,26,male,single,1,rent,4,skilled employee / official,4 years,7 years,1,Low,2 lac,0,15,business,2687000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
513,20,male,married/widowed,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,2 lac,12,electronic equipment,585000,4,real estate,1,0,2,delay in paying off loans in the past,Low Risk
514,54,male,single,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,24,new vehicle,2255000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
515,37,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,7 years,0,Low,0,0,6,new vehicle,609000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
516,40,male,single,2,own,4,unskilled - resident,0 year,1 year,0,Low,0,0,6,new vehicle,1361000,2,real estate,0,0,1,critical/pending loans at other banks,Low Risk
517,23,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,36,FF&E,7127000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,High Risk
518,43,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Medium,0,0,6,new vehicle,1203000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
519,36,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,6,electronic equipment,700000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
520,44,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,repair costs,5507000,3,car or other,0,0,2,critical/pending loans at other banks,Low Risk
521,24,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,18,electronic equipment,3190000,2,real estate,0,0,1,existing loans paid back duly till now,High Risk
522,53,male,single,2,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,48,FF&E,7119000,3,car or other,0,0,2,no loans taken/all loans paid back duly,High Risk
523,23,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,1,Medium,0,0,24,used vehicle,3488000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
524,26,female,divorced/separated/married,2,own,4,unskilled - resident,1 year,4 years,1,Low,0,2 lac,18,electronic equipment,1113000,4,real estate,0,1,1,existing loans paid back duly till now,Low Risk
525,30,male,single,1,own,3,skilled employee / official,0 year,1 year,1,Low,0,2 lac,26,used vehicle,7966000,2,car or other,0,0,2,existing loans paid back duly till now,Low Risk
526,31,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,4 years,1,Medium,0,0,15,education,1532000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
527,42,male,single,2,own,1,unskilled - resident,4 years,7 years,1,Low,0,0,4,electronic equipment,1503000,2,real estate,0,0,2,critical/pending loans at other banks,Low Risk
528,31,male,divorced/separated,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,0,36,electronic equipment,2302000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
529,41,male,single,2,own,4,unskilled - resident,0 year,1 year,1,Low,0,0,6,new vehicle,662000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
530,32,male,single,2,own,1,skilled employee / official,4 years,7 years,1,Low,0,2 lac,36,education,2273000,3,car or other,0,0,2,existing loans paid back duly till now,Low Risk
531,28,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,15,new vehicle,2631000,2,car or other,0,0,2,existing loans paid back duly till now,High Risk
532,41,male,married/widowed,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,0,12,used vehicle,1503000,4,real estate,0,0,1,delay in paying off loans in the past,Low Risk
533,26,male,married/widowed,1,own,3,skilled employee / official,4 years,7 years,1,Medium,0,0,24,electronic equipment,1311000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
534,25,male,single,1,own,2,skilled employee / official,0 year,1 year,1,Low,0,0,24,electronic equipment,3105000,4,car or other,0,0,2,existing loans paid back duly till now,Low Risk
535,33,male,divorced/separated,1,rent,1,skilled employee / official,0 year,1 year,1,Low,2 lac,0,21,education,2319000,2,car or other,0,0,1,critical/pending loans at other banks,High Risk
536,75,female,divorced/separated/married,1,own,3,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,6,new vehicle,1374000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
537,37,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,18,FF&E,3612000,3,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
538,42,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,48,new vehicle,7763000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
539,45,female,divorced/separated/married,1,own,1,unskilled - resident,0 year,1 year,1,Low,2 lac,0,18,FF&E,3049000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
540,23,male,married/widowed,1,rent,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,12,electronic equipment,1534000,1,real estate,0,0,1,existing loans paid back duly till now,High Risk
541,60,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,new vehicle,2032000,4,car or other,0,0,2,delay in paying off loans in the past,Low Risk
542,31,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,30,FF&E,6350000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
543,34,male,single,2,own,1,unskilled - resident,1 year,4 years,1,Low,2 lac,0,18,FF&E,2864000,2,real estate,0,0,1,existing loans paid back duly till now,High Risk
544,61,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,12,new vehicle,1255000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
545,43,male,single,2,for free,2,skilled employee / official,1 year,0 year,1,Low,0,0,24,new vehicle,1333000,4,real estate,0,0,2,delay in paying off loans in the past,High Risk
546,37,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,24,new vehicle,2022000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
547,32,male,single,2,own,1,skilled employee / official,4 years,7 years,1,Low,0,0,24,electronic equipment,1552000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
548,24,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,4 years,1,Low,0,0,12,electronic equipment,626000,4,real estate,0,0,1,all loans at this bank paid back duly,High Risk
549,35,male,single,1,for free,1,skilled employee / official,4 years,7 years,1,Low,0,0,48,used vehicle,8858000,2,car or other,0,0,2,critical/pending loans at other banks,Low Risk
550,23,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,12,repair costs,996000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
551,45,male,single,2,own,4,unskilled - resident,7 years,4 years,1,High,0,0,6,electronic equipment,1750000,2,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,Low Risk
552,34,male,married/widowed,1,own,1,skilled employee / official,4 years,7 years,1,Low,0,0,48,electronic equipment,6999000,1,real estate,0,1,2,existing loans paid back duly till now,High Risk
553,27,male,single,1,own,1,skilled employee / official,0 year,1 year,1,Medium,0,2 lac,12,new vehicle,1995000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
554,67,female,divorced/separated/married,1,own,4,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,2 lac,9,education,1199000,4,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,Low Risk
555,22,male,single,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,12,electronic equipment,1331000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
556,28,female,divorced/separated/married,1,own,3,skilled employee / official,0 year,1 year,1,Medium,0,2 lac,18,new vehicle,2278000,3,car or other,0,0,2,no loans taken/all loans paid back duly,High Risk
557,29,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,21,new vehicle,5003000,1,building society savings agreement/life insurance,0,0,2,no loans taken/all loans paid back duly,High Risk
558,27,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,24,FF&E,3552000,3,car or other,0,0,1,all loans at this bank paid back duly,High Risk
559,31,male,single,1,own,2,unskilled - resident,0 year,1 year,1,Low,0,2 lac,18,FF&E,1928000,2,real estate,0,0,2,critical/pending loans at other banks,High Risk
560,49,male,single,2,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,used vehicle,2964000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
561,24,male,single,1,rent,4,unskilled - resident,4 years,7 years,1,Low,0,0,24,electronic equipment,1546000,4,car or other,0,1,1,all loans at this bank paid back duly,High Risk
562,29,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,2 lac,0,6,electronic equipment,683000,2,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,Low Risk
563,37,male,single,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,2 lac,36,new vehicle,12389000,1,car or other,0,0,1,existing loans paid back duly till now,High Risk
564,37,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,2 lac,24,business,4712000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
565,23,female,divorced/separated/married,1,rent,2,skilled employee / official,4 years,7 years,1,Medium,0,2 lac,24,electronic equipment,1553000,3,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
566,36,male,divorced/separated,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,12,new vehicle,1372000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
567,34,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Very high,0,0,24,electronic equipment,2578000,2,car or other,0,0,1,critical/pending loans at other banks,Low Risk
568,41,male,single,2,own,1,skilled employee / official,4 years,7 years,1,Low,0,2 lac,48,electronic equipment,3979000,4,car or other,0,0,2,existing loans paid back duly till now,Low Risk
569,31,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,48,electronic equipment,6758000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
570,23,female,divorced/separated/married,1,rent,4,unskilled - resident,0 year,1 year,1,Low,0,0,24,FF&E,3234000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
571,38,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,30,electronic equipment,5954000,3,car or other,1,0,1,critical/pending loans at other banks,Low Risk
572,26,female,divorced/separated/married,1,rent,4,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,24,used vehicle,5433000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
573,22,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,4 years,1,Low,0,0,15,business,806000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
574,27,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,2 lac,9,electronic equipment,1082000,4,car or other,0,0,2,existing loans paid back duly till now,Low Risk
575,24,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,15,FF&E,2788000,2,car or other,1,0,2,critical/pending loans at other banks,Low Risk
576,27,female,divorced/separated/married,1,own,1,skilled employee / official,4 years,7 years,1,Low,0,2 lac,12,electronic equipment,2930000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
577,33,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,24,education,1927000,3,car or other,0,0,2,critical/pending loans at other banks,Low Risk
578,27,male,divorced/separated,1,own,4,skilled employee / official,0 year,1 year,1,Low,0,2 lac,36,new vehicle,2820000,4,car or other,0,0,2,critical/pending loans at other banks,High Risk
579,27,male,married/widowed,1,own,3,unskilled - resident,0 year,1 year,1,Low,0,0,24,career development,937000,4,car or other,0,0,2,existing loans paid back duly till now,Low Risk
580,30,male,single,1,own,3,skilled employee / official,7 years,4 years,1,Low,0,2 lac,18,new vehicle,1056000,3,real estate,0,1,2,critical/pending loans at other banks,High Risk
581,49,male,single,2,own,3,unskilled - resident,0 year,1 year,1,Low,0,2 lac,12,new vehicle,3124000,1,real estate,0,0,2,critical/pending loans at other banks,Low Risk
582,26,female,divorced/separated/married,1,rent,2,skilled employee / official,1 year,4 years,1,Low,0,0,9,FF&E,1388000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
583,33,male,single,1,rent,1,unskilled - resident,0 year,1 year,1,Low,0,2 lac,36,repair costs,2384000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
584,52,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,12,new vehicle,2133000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
585,20,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,0,18,FF&E,2039000,1,real estate,0,0,1,existing loans paid back duly till now,High Risk
586,36,male,single,2,rent,2,skilled employee / official,1 year,4 years,1,Low,0,0,9,new vehicle,2799000,2,real estate,0,0,2,critical/pending loans at other banks,Low Risk
587,21,male,single,1,own,1,unskilled - resident,1 year,4 years,1,Low,0,0,12,FF&E,1289000,4,building society savings agreement/life insurance,0,1,1,existing loans paid back duly till now,Low Risk
588,47,male,married/widowed,1,own,3,unskilled - resident,1 year,4 years,1,Low,0,0,18,domestic appliances,1217000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
589,60,male,single,1,own,3,skilled employee / official,7 years,4 years,1,Low,0,0,12,FF&E,2246000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,High Risk
590,58,female,divorced/separated/married,1,own,3,unskilled - resident,4 years,7 years,1,Low,0,0,12,electronic equipment,385000,4,real estate,0,0,4,critical/pending loans at other banks,Low Risk
591,42,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,1,Low,0,2 lac,24,new vehicle,1965000,4,car or other,0,0,2,delay in paying off loans in the past,Low Risk
592,36,female,divorced/separated/married,1,own,4,unskilled - resident,7 years,4 years,1,Very high,0,0,21,business,1572000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
593,20,female,divorced/separated/married,1,rent,4,unskilled - resident,1 year,4 years,1,Low,0,2 lac,24,new vehicle,2718000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
594,40,male,single,1,own,3,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,24,electronic equipment,1358000,4,car or other,0,0,1,all loans at this bank paid back duly,High Risk
595,32,female,divorced/separated/married,1,own,1,unskilled - resident,0 year,1 year,1,Medium,0,2 lac,6,new vehicle,931000,1,building society savings agreement/life insurance,0,0,1,all loans at this bank paid back duly,High Risk
596,23,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,7 years,1,Low,0,0,24,new vehicle,1442000,4,car or other,0,0,2,existing loans paid back duly till now,High Risk
597,36,male,single,1,own,4,unskilled - resident,1 year,4 years,1,Low,0,2 lac,24,business,4241000,1,real estate,0,0,3,no loans taken/all loans paid back duly,High Risk
598,31,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,18,new vehicle,2775000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,High Risk
599,32,male,single,1,for free,2,skilled employee / official,1 year,4 years,1,Low,0,0,24,business,3863000,1,car or other,0,0,1,delay in paying off loans in the past,Low Risk
600,45,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,7,electronic equipment,2329000,1,real estate,0,1,1,existing loans paid back duly till now,Low Risk
601,30,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,2 lac,9,FF&E,918000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
602,34,female,divorced/separated/married,1,for free,4,unskilled - resident,4 years,7 years,1,Low,0,2 lac,24,education,1837000,4,car or other,0,0,1,all loans at this bank paid back duly,High Risk
603,28,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,36,FF&E,3349000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
604,23,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,1,Low,2 lac,0,10,FF&E,1275000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
605,22,male,single,1,own,4,skilled employee / official,1 year,4 years,1,High,0,0,24,FF&E,2828000,4,real estate,0,0,1,all loans at this bank paid back duly,Low Risk
606,74,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,24,business,4526000,3,real estate,0,0,1,critical/pending loans at other banks,Low Risk
607,50,female,divorced/separated/married,1,for free,4,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,36,electronic equipment,2671000,4,car or other,1,0,1,existing loans paid back duly till now,High Risk
608,33,male,single,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,18,electronic equipment,2051000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
609,45,male,single,2,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,15,used vehicle,1300000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
610,22,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,0 year,1,Medium,0,0,12,domestic appliances,741000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
611,48,female,divorced/separated/married,2,for free,4,unskilled - resident,7 years,4 years,1,Medium,2 lac,0,10,new vehicle,1240000,1,car or other,0,0,1,existing loans paid back duly till now,High Risk
612,29,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,1,Very high,0,0,21,electronic equipment,3357000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
613,22,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,0,Low,0,0,24,used vehicle,3632000,1,car or other,0,1,1,all loans at this bank paid back duly,Low Risk
614,22,female,divorced/separated/married,1,own,1,skilled employee / official,4 years,7 years,1,Low,0,0,18,FF&E,1808000,4,real estate,0,0,1,delay in paying off loans in the past,High Risk
615,48,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,2 lac,48,business,12204000,2,car or other,0,0,1,no loans taken/all loans paid back duly,Low Risk
616,27,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,2 lac,60,electronic equipment,9157000,2,car or other,0,0,1,delay in paying off loans in the past,Low Risk
617,37,male,single,2,rent,3,skilled employee / official,1 year,4 years,1,Low,0,0,6,new vehicle,3676000,1,real estate,0,0,3,critical/pending loans at other banks,Low Risk
618,21,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,30,FF&E,3441000,2,car or other,1,0,1,existing loans paid back duly till now,High Risk
619,49,male,divorced/separated,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,12,new vehicle,640000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
620,27,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,2 lac,21,business,3652000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
621,32,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,18,new vehicle,1530000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,High Risk
622,38,male,divorced/separated,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,48,business,3914000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
623,22,female,divorced/separated/married,1,rent,1,skilled employee / official,0 year,1 year,1,Low,0,0,12,FF&E,1858000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
624,65,male,single,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,18,electronic equipment,2600000,4,car or other,0,0,2,existing loans paid back duly till now,High Risk
625,35,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,15,electronic equipment,1979000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
626,41,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,2 lac,0,6,FF&E,2116000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
627,29,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Medium,0,2 lac,9,new vehicle,1437000,2,car or other,0,0,1,all loans at this bank paid back duly,High Risk
628,36,male,single,1,own,4,skilled employee / official,1 year,4 years,1,High,0,0,42,FF&E,4042000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
629,64,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,9,education,3832000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
630,28,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,24,electronic equipment,3660000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
631,44,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,18,FF&E,1553000,4,car or other,0,0,1,all loans at this bank paid back duly,High Risk
632,23,male,single,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,15,electronic equipment,1444000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
633,19,female,divorced/separated/married,1,rent,2,skilled employee / official,0 year,1 year,1,Low,0,0,9,FF&E,1980000,2,car or other,1,0,2,existing loans paid back duly till now,High Risk
634,25,female,divorced/separated/married,1,own,4,unskilled - resident,0 year,1 year,1,Low,0,2 lac,24,new vehicle,1355000,3,car or other,0,0,1,existing loans paid back duly till now,High Risk
635,47,male,single,2,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,12,education,1393000,4,building society savings agreement/life insurance,0,0,3,existing loans paid back duly till now,Low Risk
636,28,female,divorced/separated/married,1,own,1,skilled employee / official,4 years,7 years,1,High,0,0,24,electronic equipment,1376000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
637,21,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,0,60,electronic equipment,15653000,2,car or other,0,0,2,delay in paying off loans in the past,Low Risk
638,34,female,divorced/separated/married,2,own,3,skilled employee / official,0 year,1 year,1,Low,0,0,12,electronic equipment,1493000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
639,26,male,single,2,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,42,electronic equipment,4370000,3,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,High Risk
640,27,female,divorced/separated/married,1,own,1,unemployed / unskilled - non-resident,1 year,0 year,1,Low,0,0,18,education,750000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
641,38,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,2 lac,15,repair costs,1308000,4,car or other,0,0,2,existing loans paid back duly till now,Low Risk
642,40,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Medium,0,0,15,education,4623000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
